source,target,weight
南京高科,浙江广厦,1
南京高科,中江地产,1
南京高科,华润万东,1
南京高科,象屿股份,1
南京高科,国投安信,1
冠城大通,楚天高速,1
葛洲坝,华夏银行,1
葛洲坝,山东钢铁,1
葛洲坝,黄山旅游,1
*ST银鸽,包钢股份,1
*ST银鸽,中国石化,1
*ST银鸽,三一重工,1
浙江富润,楚天高速,1
*ST光学,浦发银行,1
*ST光学,白云机场,1
*ST光学,东风汽车,1
*ST光学,中国国贸,1
*ST光学,首创股份,1
*ST光学,上海机场,1
*ST光学,上港集团,1
*ST光学,福建高速,1
*ST光学,歌华有线,1
*ST光学,中直股份,1
*ST光学,浙江广厦,1
*ST光学,中江地产,1
*ST光学,华润万东,1
*ST光学,象屿股份,1
*ST光学,国投安信,1
*ST光学,南京高科,1
上海梅林,浦发银行,1
上海梅林,白云机场,1
上海梅林,上海机场,1
上海梅林,皖通高速,1
上海梅林,中原高速,1
上海梅林,上海电力,1
上海梅林,福建高速,1
上海梅林,楚天高速,1
上海梅林,歌华有线,1
上海梅林,浙江广厦,1
上海梅林,华润万东,1
上海梅林,象屿股份,1
上海梅林,国投安信,1
上海梅林,南京高科,1
上海梅林,冠城大通,1
上海梅林,*ST光学,1
保千里,白云机场,1
保千里,东风汽车,1
保千里,上海机场,1
保千里,华能国际,1
保千里,皖通高速,1
保千里,日照港,1
保千里,上海电力,1
保千里,华电国际,1
保千里,中江地产,1
保千里,华润万东,1
新疆天业,南方航空,1
青鸟华光,上海机场,1
青鸟华光,歌华有线,1
青鸟华光,中直股份,1
青鸟华光,华润万东,1
宋都股份,*ST银鸽,1
金花股份,上港集团,1
金花股份,浙能电力,1
金花股份,象屿股份,1
金花股份,*ST光学,1
东风科技,浦发银行,1
东风科技,白云机场,1
东风科技,首创股份,1
东风科技,上港集团,1
东风科技,浙能电力,1
东风科技,歌华有线,1
东风科技,中直股份,1
东风科技,浙江广厦,1
东风科技,中江地产,1
东风科技,华润万东,1
东风科技,象屿股份,1
东风科技,国投安信,1
东风科技,南京高科,1
东风科技,*ST光学,1
东风科技,金花股份,1
海泰发展,浦发银行,1
海泰发展,白云机场,1
海泰发展,中国国贸,1
海泰发展,首创股份,1
